Daily data for a single station.
StationID:,727340-14847
StationName:,"SAULT STE MARIE MUNI/SASN"
Lat&Long:,46.479,-84.350
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-21.8,-25.7,1.45,38.3
2014-01-02,#N/A,#N/A,#N/A,-22.6,-26.5,1.59,35.8
2014-01-03,#N/A,#N/A,#N/A,-18.8,-22.0,3.60,87.6
2014-01-04,#N/A,#N/A,#N/A,-5.7,-8.8,4.78,100.0
2014-01-05,#N/A,#N/A,#N/A,-9.2,-13.1,4.46,84.9
2014-01-06,#N/A,#N/A,#N/A,-17.4,-21.6,4.67,99.8
2014-01-07,#N/A,#N/A,#N/A,-18.8,-22.2,7.69,94.4
2014-01-08,#N/A,#N/A,#N/A,-13.6,-17.6,5.22,90.3
2014-01-09,#N/A,#N/A,#N/A,-11.4,-15.0,2.85,77.7
2014-01-10,#N/A,#N/A,#N/A,-4.3,-6.4,3.41,100.0
2014-01-11,#N/A,#N/A,#N/A,0.5,-0.9,4.37,100.0
2014-01-12,#N/A,#N/A,#N/A,-0.4,-3.3,4.38,73.8
2014-01-13,#N/A,#N/A,#N/A,0.4,-2.4,3.47,99.8
2014-01-14,#N/A,#N/A,#N/A,-3.4,-7.0,2.60,99.9
2014-01-15,#N/A,#N/A,#N/A,-10.8,-14.4,3.63,91.6
2014-01-16,#N/A,#N/A,#N/A,-6.3,-8.6,4.89,100.0
2014-01-17,#N/A,#N/A,#N/A,-4.8,-6.9,2.58,100.0
2014-01-18,#N/A,#N/A,#N/A,-10.6,-13.9,1.90,63.1
2014-01-19,#N/A,#N/A,#N/A,-8.6,-12.6,5.17,92.0
2014-01-20,#N/A,#N/A,#N/A,-19.5,-25.3,3.74,18.3
2014-01-21,#N/A,#N/A,#N/A,-22.4,-26.9,0.87,54.5
2014-01-22,#N/A,#N/A,#N/A,-17.5,-20.8,3.81,100.0
2014-01-23,#N/A,#N/A,#N/A,-19.7,-24.6,2.75,31.7
2014-01-24,#N/A,#N/A,#N/A,-13.5,-16.3,4.89,87.7
2014-01-25,#N/A,#N/A,#N/A,-15.2,-19.2,5.09,97.2
2014-01-26,#N/A,#N/A,#N/A,-19.8,-22.8,2.47,78.3
2014-01-27,#N/A,#N/A,#N/A,-19.9,-24.0,3.36,76.3
2014-01-28,#N/A,#N/A,#N/A,-19.3,-23.8,5.37,51.0
2014-01-29,#N/A,#N/A,#N/A,-14.0,-17.9,4.98,87.9
2014-01-30,#N/A,#N/A,#N/A,-5.5,-9.1,4.90,94.8
2014-01-31,#N/A,#N/A,#N/A,-10.9,-14.5,4.09,99.8
2014-02-01,#N/A,#N/A,#N/A,-9.9,-13.0,1.58,95.5
2014-02-02,#N/A,#N/A,#N/A,-10.8,-14.0,2.99,93.8
2014-02-03,#N/A,#N/A,#N/A,-14.2,-18.4,0.94,38.4
2014-02-04,#N/A,#N/A,#N/A,-11.2,-15.5,1.05,62.7
2014-02-05,#N/A,#N/A,#N/A,-13.3,-17.7,3.35,53.5
2014-02-06,#N/A,#N/A,#N/A,-14.1,-17.9,3.61,77.6
2014-02-07,#N/A,#N/A,#N/A,-14.8,-19.6,4.17,17.3
2014-02-08,#N/A,#N/A,#N/A,-13.5,-18.3,1.24,61.4
2014-02-09,#N/A,#N/A,#N/A,-14.5,-18.7,2.25,39.1
2014-02-10,#N/A,#N/A,#N/A,-16.6,-20.6,3.02,62.7
2014-02-11,#N/A,#N/A,#N/A,-17.4,-21.5,1.51,42.2
2014-02-12,#N/A,#N/A,#N/A,-10.2,-13.4,3.38,95.6
2014-02-13,#N/A,#N/A,#N/A,-8.0,-10.2,3.52,96.2
2014-02-14,#N/A,#N/A,#N/A,-7.8,-10.4,2.99,97.9
2014-02-15,#N/A,#N/A,#N/A,-14.7,-19.3,1.80,39.2
2014-02-16,#N/A,#N/A,#N/A,-13.6,-18.7,2.01,38.5
2014-02-17,#N/A,#N/A,#N/A,-13.7,-18.1,4.20,34.6
2014-02-18,#N/A,#N/A,#N/A,-7.5,-10.4,2.52,60.5
2014-02-19,#N/A,#N/A,#N/A,-3.6,-6.7,1.81,63.0
2014-02-20,#N/A,#N/A,#N/A,-2.9,-6.2,4.41,36.0
2014-02-21,#N/A,#N/A,#N/A,-2.3,-4.6,8.66,99.8
2014-02-22,#N/A,#N/A,#N/A,-8.3,-13.2,6.03,99.6
2014-02-23,#N/A,#N/A,#N/A,-11.0,-15.1,6.07,68.4
2014-02-24,#N/A,#N/A,#N/A,-13.5,-17.3,4.21,94.0
2014-02-25,#N/A,#N/A,#N/A,-14.2,-17.4,4.16,93.2
2014-02-26,#N/A,#N/A,#N/A,-17.2,-21.9,4.84,49.1
2014-02-27,#N/A,#N/A,#N/A,-21.1,-25.7,6.23,62.6
2014-02-28,#N/A,#N/A,#N/A,-20.5,-24.0,2.71,70.4
2014-03-01,#N/A,#N/A,#N/A,-15.6,-19.9,4.96,64.2
2014-03-02,#N/A,#N/A,#N/A,-20.9,-25.1,3.70,24.6
2014-03-03,#N/A,#N/A,#N/A,-18.4,-23.3,2.02,9.3
2014-03-04,#N/A,#N/A,#N/A,-13.4,-17.2,1.42,83.8
2014-03-05,#N/A,#N/A,#N/A,-13.8,-20.6,2.06,9.4
2014-03-06,#N/A,#N/A,#N/A,-12.5,-17.3,3.99,0.0
2014-03-07,#N/A,#N/A,#N/A,-6.6,-9.6,2.31,84.6
2014-03-08,#N/A,#N/A,#N/A,-9.1,-13.8,3.72,5.2
2014-03-09,#N/A,#N/A,#N/A,-8.8,-12.6,3.49,69.4
2014-03-10,#N/A,#N/A,#N/A,0.5,-2.9,3.01,67.6
2014-03-11,#N/A,#N/A,#N/A,-1.3,-5.1,3.73,43.9
2014-03-12,#N/A,#N/A,#N/A,-13.7,-20.2,4.80,1.0
2014-03-13,#N/A,#N/A,#N/A,-13.0,-16.9,2.29,67.3
2014-03-14,#N/A,#N/A,#N/A,-0.8,-3.5,2.60,100.0
2014-03-15,#N/A,#N/A,#N/A,-9.7,-14.5,5.58,34.1
2014-03-16,#N/A,#N/A,#N/A,-16.0,-22.7,2.86,0.0
2014-03-17,#N/A,#N/A,#N/A,-13.0,-17.6,3.43,57.7
2014-03-18,#N/A,#N/A,#N/A,-5.1,-9.3,3.50,99.8
2014-03-19,#N/A,#N/A,#N/A,-01.0,-4.3,3.24,100.0
2014-03-20,#N/A,#N/A,#N/A,-4.1,-7.3,5.65,72.2
2014-03-21,#N/A,#N/A,#N/A,-4.0,-7.9,1.98,82.6
2014-03-22,#N/A,#N/A,#N/A,-8.7,-11.6,6.16,94.4
2014-03-23,#N/A,#N/A,#N/A,-13.0,-18.1,3.89,21.0
2014-03-24,#N/A,#N/A,#N/A,-13.1,-18.3,2.11,46.2
2014-03-25,#N/A,#N/A,#N/A,-14.3,-18.6,2.75,42.8
2014-03-26,#N/A,#N/A,#N/A,-6.1,-14.0,2.15,43.4
2014-03-27,#N/A,#N/A,#N/A,-2.5,-4.5,3.12,100.0
2014-03-28,#N/A,#N/A,#N/A,-0.5,-3.4,3.84,56.4
2014-03-29,#N/A,#N/A,#N/A,-2.5,-8.9,1.57,13.5
2014-03-30,#N/A,#N/A,#N/A,-1.9,-9.3,2.57,0.0
2014-03-31,#N/A,#N/A,#N/A,2.2,-7.9,4.35,52.1
2014-04-01,#N/A,#N/A,#N/A,0.2,-2.8,5.86,100.0
2014-04-02,#N/A,#N/A,#N/A,-4.5,-9.2,5.69,42.7
2014-04-03,#N/A,#N/A,#N/A,-1.8,-8.5,2.01,39.6
2014-04-04,#N/A,#N/A,#N/A,0.4,-3.6,4.35,100.0
2014-04-05,#N/A,#N/A,#N/A,-4.3,-10.3,4.99,44.4
2014-04-06,#N/A,#N/A,#N/A,1.8,-4.2,2.51,74.4
2014-04-07,#N/A,#N/A,#N/A,5.9,-2.6,2.49,80.4
2014-04-08,#N/A,#N/A,#N/A,2.8,-1.9,4.44,37.5
2014-04-09,#N/A,#N/A,#N/A,3.2,-4.7,2.82,23.5
2014-04-10,#N/A,#N/A,#N/A,5.9,-1.2,4.54,41.5
2014-04-11,#N/A,#N/A,#N/A,3.9,-3.8,2.34,13.1
2014-04-12,#N/A,#N/A,#N/A,2.4,-1.3,3.02,63.1
2014-04-13,#N/A,#N/A,#N/A,3.8,2.4,2.61,100.0
2014-04-14,#N/A,#N/A,#N/A,-0.8,-3.1,5.12,100.0
2014-04-15,#N/A,#N/A,#N/A,-7.6,-13.2,5.20,33.3
2014-04-16,#N/A,#N/A,#N/A,-4.1,-10.7,2.15,35.9
2014-04-17,#N/A,#N/A,#N/A,0.9,-3.7,4.66,85.2
2014-04-18,#N/A,#N/A,#N/A,0.8,-1.9,3.87,91.6
2014-04-19,#N/A,#N/A,#N/A,1.4,-4.5,3.23,30.0
2014-04-20,#N/A,#N/A,#N/A,2.3,0.8,2.66,99.3
2014-04-21,#N/A,#N/A,#N/A,5.4,4.1,1.86,79.7
2014-04-22,#N/A,#N/A,#N/A,2.4,-1.0,5.70,87.1
2014-04-23,#N/A,#N/A,#N/A,2.8,-6.4,3.66,0.0
2014-04-24,#N/A,#N/A,#N/A,4.7,-5.1,2.72,44.6
2014-04-25,#N/A,#N/A,#N/A,4.3,-3.4,4.37,100.0
2014-04-26,#N/A,#N/A,#N/A,3.0,-2.3,2.71,71.1
2014-04-27,#N/A,#N/A,#N/A,5.0,-5.5,2.36,0.0
2014-04-28,#N/A,#N/A,#N/A,7.8,-5.8,5.05,0.0
2014-04-29,#N/A,#N/A,#N/A,7.2,2.2,5.99,87.3
2014-04-30,#N/A,#N/A,#N/A,6.6,5.6,4.54,100.0
2014-05-01,#N/A,#N/A,#N/A,5.5,4.2,2.87,100.0
2014-05-02,#N/A,#N/A,#N/A,4.4,3.1,2.66,100.0
2014-05-03,#N/A,#N/A,#N/A,4.6,3.2,2.84,100.0
2014-05-04,#N/A,#N/A,#N/A,3.8,0.7,3.95,67.1
2014-05-05,#N/A,#N/A,#N/A,4.2,-0.5,1.78,59.8
2014-05-06,#N/A,#N/A,#N/A,6.9,-2.5,1.83,4.2
2014-05-07,#N/A,#N/A,#N/A,8.7,-2.5,4.09,36.0
2014-05-08,#N/A,#N/A,#N/A,9.4,3.6,4.80,82.5
2014-05-09,#N/A,#N/A,#N/A,12.2,10.1,4.13,71.4
2014-05-10,#N/A,#N/A,#N/A,8.1,1.6,3.87,9.1
2014-05-11,#N/A,#N/A,#N/A,12.1,3.8,1.48,19.6
2014-05-12,#N/A,#N/A,#N/A,10.9,4.1,3.98,76.0
2014-05-13,#N/A,#N/A,#N/A,9.2,7.6,3.57,88.6
2014-05-14,#N/A,#N/A,#N/A,7.5,0.9,3.30,33.1
2014-05-15,#N/A,#N/A,#N/A,4.4,1.4,3.74,100.0
2014-05-16,#N/A,#N/A,#N/A,2.4,-1.2,4.70,84.5
2014-05-17,#N/A,#N/A,#N/A,4.6,-1.1,2.89,66.6
2014-05-18,#N/A,#N/A,#N/A,10.1,1.7,3.09,24.3
2014-05-19,#N/A,#N/A,#N/A,14.0,3.8,2.59,37.1
2014-05-20,#N/A,#N/A,#N/A,9.2,6.4,2.96,91.2
2014-05-21,#N/A,#N/A,#N/A,10.7,8.3,2.89,92.4
2014-05-22,#N/A,#N/A,#N/A,5.5,3.9,5.08,100.0
2014-05-23,#N/A,#N/A,#N/A,11.3,4.6,4.30,31.2
2014-05-24,#N/A,#N/A,#N/A,15.9,4.3,2.53,0.0
2014-05-25,#N/A,#N/A,#N/A,18.8,6.3,2.85,1.0
2014-05-26,#N/A,#N/A,#N/A,19.1,11.0,2.74,19.4
2014-05-27,#N/A,#N/A,#N/A,13.9,7.8,3.87,7.0
2014-05-28,#N/A,#N/A,#N/A,13.9,7.0,1.69,5.2
2014-05-29,#N/A,#N/A,#N/A,16.9,8.2,1.23,1.0
2014-05-30,#N/A,#N/A,#N/A,18.3,10.6,1.52,10.2
2014-05-31,#N/A,#N/A,#N/A,18.1,7.5,3.80,0.0
2014-06-01,#N/A,#N/A,#N/A,17.8,8.9,2.81,39.4
2014-06-02,#N/A,#N/A,#N/A,16.7,14.8,3.02,95.9
2014-06-03,#N/A,#N/A,#N/A,13.1,9.7,4.81,86.7
2014-06-04,#N/A,#N/A,#N/A,11.3,5.3,3.73,28.8
2014-06-05,#N/A,#N/A,#N/A,12.8,01.0,2.97,1.0
2014-06-06,#N/A,#N/A,#N/A,16.0,7.5,2.12,2.1
2014-06-07,#N/A,#N/A,#N/A,16.3,9.6,2.70,27.3
2014-06-08,#N/A,#N/A,#N/A,13.1,7.0,4.80,29.4
2014-06-09,#N/A,#N/A,#N/A,13.9,6.1,1.44,1.4
2014-06-10,#N/A,#N/A,#N/A,17.3,8.2,1.32,0.0
2014-06-11,#N/A,#N/A,#N/A,17.3,12.0,1.38,62.7
2014-06-12,#N/A,#N/A,#N/A,16.9,14.4,2.08,98.0
2014-06-13,#N/A,#N/A,#N/A,8.5,6.0,4.41,95.3
2014-06-14,#N/A,#N/A,#N/A,12.0,5.8,2.06,21.8
2014-06-15,#N/A,#N/A,#N/A,14.4,8.6,4.68,24.8
2014-06-16,#N/A,#N/A,#N/A,19.8,11.3,2.92,18.8
2014-06-17,#N/A,#N/A,#N/A,16.3,13.9,2.77,54.9
2014-06-18,#N/A,#N/A,#N/A,17.4,12.6,1.57,62.9
2014-06-19,#N/A,#N/A,#N/A,17.8,5.2,2.41,0.0
2014-06-20,#N/A,#N/A,#N/A,14.1,8.3,2.04,51.0
2014-06-21,#N/A,#N/A,#N/A,18.2,9.0,1.79,54.0
2014-06-22,#N/A,#N/A,#N/A,18.9,9.1,2.99,26.9
2014-06-23,#N/A,#N/A,#N/A,18.6,13.5,2.33,43.5
2014-06-24,#N/A,#N/A,#N/A,16.9,14.4,1.66,93.5
2014-06-25,#N/A,#N/A,#N/A,15.7,7.8,3.02,90.0
2014-06-26,#N/A,#N/A,#N/A,18.5,7.8,1.37,13.3
2014-06-27,#N/A,#N/A,#N/A,19.6,9.0,2.89,0.0
2014-06-28,#N/A,#N/A,#N/A,21.4,13.8,3.63,5.2
2014-06-29,#N/A,#N/A,#N/A,21.5,17.9,3.63,53.0
2014-06-30,#N/A,#N/A,#N/A,23.1,18.3,5.11,34.2
2014-07-01,#N/A,#N/A,#N/A,19.8,16.2,5.18,86.2
2014-07-02,#N/A,#N/A,#N/A,12.5,7.4,5.02,33.6
2014-07-03,#N/A,#N/A,#N/A,13.5,7.1,2.49,16.0
2014-07-04,#N/A,#N/A,#N/A,16.4,6.7,2.78,8.1
2014-07-05,#N/A,#N/A,#N/A,18.2,9.7,3.70,27.5
2014-07-06,#N/A,#N/A,#N/A,18.4,15.3,2.69,85.0
2014-07-07,#N/A,#N/A,#N/A,18.4,13.7,3.67,29.5
2014-07-08,#N/A,#N/A,#N/A,11.6,8.9,3.52,79.8
2014-07-09,#N/A,#N/A,#N/A,11.9,7.6,4.01,49.5
2014-07-10,#N/A,#N/A,#N/A,15.4,7.8,1.79,17.1
2014-07-11,#N/A,#N/A,#N/A,17.0,11.3,2.88,68.3
2014-07-12,#N/A,#N/A,#N/A,20.5,16.0,2.46,86.6
2014-07-13,#N/A,#N/A,#N/A,16.2,11.5,3.49,58.4
2014-07-14,#N/A,#N/A,#N/A,15.6,9.8,2.29,63.6
2014-07-15,#N/A,#N/A,#N/A,13.8,10.5,3.29,88.5
2014-07-16,#N/A,#N/A,#N/A,14.2,7.7,3.85,18.3
2014-07-17,#N/A,#N/A,#N/A,16.8,7.8,2.42,0.0
2014-07-18,#N/A,#N/A,#N/A,18.9,10.7,2.41,22.7
2014-07-19,#N/A,#N/A,#N/A,18.8,11.4,3.28,17.3
2014-07-20,#N/A,#N/A,#N/A,19.9,13.7,2.91,13.1
2014-07-21,#N/A,#N/A,#N/A,21.5,15.8,2.77,33.0
2014-07-22,#N/A,#N/A,#N/A,19.3,15.8,4.20,81.8
2014-07-23,#N/A,#N/A,#N/A,14.9,9.7,4.29,44.5
2014-07-24,#N/A,#N/A,#N/A,15.0,9.2,2.75,0.0
2014-07-25,#N/A,#N/A,#N/A,18.3,11.6,3.01,52.7
2014-07-26,#N/A,#N/A,#N/A,18.2,16.3,2.65,97.0
2014-07-27,#N/A,#N/A,#N/A,17.2,12.6,2.76,76.0
2014-07-28,#N/A,#N/A,#N/A,13.6,6.9,3.74,52.5
2014-07-29,#N/A,#N/A,#N/A,13.5,10.3,3.63,59.4
2014-07-30,#N/A,#N/A,#N/A,13.0,9.7,2.41,76.3
2014-07-31,#N/A,#N/A,#N/A,15.8,10.7,1.72,56.7
2014-08-01,#N/A,#N/A,#N/A,17.1,10.5,1.94,23.8
2014-08-02,#N/A,#N/A,#N/A,18.6,9.7,1.10,2.1
2014-08-03,#N/A,#N/A,#N/A,17.8,13.3,2.30,39.2
2014-08-04,#N/A,#N/A,#N/A,16.6,12.4,3.08,35.6
2014-08-05,#N/A,#N/A,#N/A,17.8,10.6,2.07,0.0
2014-08-06,#N/A,#N/A,#N/A,17.4,10.9,3.13,3.1
2014-08-07,#N/A,#N/A,#N/A,18.7,12.1,1.82,1.0
2014-08-08,#N/A,#N/A,#N/A,19.9,12.3,0.90,0.0
2014-08-09,#N/A,#N/A,#N/A,21.3,12.2,1.07,0.5
2014-08-10,#N/A,#N/A,#N/A,20.7,13.2,1.95,0.0
2014-08-11,#N/A,#N/A,#N/A,20.5,15.9,1.83,21.8
2014-08-12,#N/A,#N/A,#N/A,15.2,13.6,4.71,100.0
2014-08-13,#N/A,#N/A,#N/A,14.2,8.9,5.38,34.4
2014-08-14,#N/A,#N/A,#N/A,12.4,6.4,5.18,1.6
2014-08-15,#N/A,#N/A,#N/A,15.7,9.3,3.82,0.0
2014-08-16,#N/A,#N/A,#N/A,16.6,13.3,3.51,64.8
2014-08-17,#N/A,#N/A,#N/A,15.7,11.0,1.72,45.9
2014-08-18,#N/A,#N/A,#N/A,15.4,12.1,3.13,76.4
2014-08-19,#N/A,#N/A,#N/A,15.6,14.2,3.22,100.0
2014-08-20,#N/A,#N/A,#N/A,17.2,16.1,1.39,100.0
2014-08-21,#N/A,#N/A,#N/A,18.4,15.7,1.19,87.5
2014-08-22,#N/A,#N/A,#N/A,20.0,16.8,1.54,41.5
2014-08-23,#N/A,#N/A,#N/A,20.1,16.8,2.04,31.4
2014-08-24,#N/A,#N/A,#N/A,19.4,16.4,2.93,31.7
2014-08-25,#N/A,#N/A,#N/A,19.6,17.7,2.78,50.0
2014-08-26,#N/A,#N/A,#N/A,17.1,11.8,4.01,40.5
2014-08-27,#N/A,#N/A,#N/A,13.4,9.0,3.47,54.1
2014-08-28,#N/A,#N/A,#N/A,14.6,8.3,1.36,8.9
2014-08-29,#N/A,#N/A,#N/A,14.4,12.8,3.15,82.4
2014-08-30,#N/A,#N/A,#N/A,19.6,18.1,1.97,99.3
2014-08-31,#N/A,#N/A,#N/A,18.2,15.2,1.62,79.4
2014-09-01,#N/A,#N/A,#N/A,18.3,16.4,3.22,81.3
2014-09-02,#N/A,#N/A,#N/A,17.0,13.6,2.13,33.4
2014-09-03,#N/A,#N/A,#N/A,18.6,13.4,2.64,50.2
2014-09-04,#N/A,#N/A,#N/A,18.5,16.1,2.06,85.7
2014-09-05,#N/A,#N/A,#N/A,17.0,14.0,3.69,50.0
2014-09-06,#N/A,#N/A,#N/A,14.2,9.7,4.20,8.1
2014-09-07,#N/A,#N/A,#N/A,15.7,10.4,2.45,17.1
2014-09-08,#N/A,#N/A,#N/A,17.6,12.8,2.68,15.4
2014-09-09,#N/A,#N/A,#N/A,18.4,13.6,2.39,43.8
2014-09-10,#N/A,#N/A,#N/A,15.4,13.8,4.10,99.0
2014-09-11,#N/A,#N/A,#N/A,8.8,3.5,3.83,94.1
2014-09-12,#N/A,#N/A,#N/A,8.0,1.5,1.66,59.4
2014-09-13,#N/A,#N/A,#N/A,8.3,4.0,1.95,71.0
2014-09-14,#N/A,#N/A,#N/A,9.7,6.3,2.53,94.6
2014-09-15,#N/A,#N/A,#N/A,10.7,6.4,2.98,30.6
2014-09-16,#N/A,#N/A,#N/A,11.5,5.6,3.23,24.5
2014-09-17,#N/A,#N/A,#N/A,9.2,6.3,2.12,79.9
2014-09-18,#N/A,#N/A,#N/A,6.3,0.6,2.39,27.9
2014-09-19,#N/A,#N/A,#N/A,11.2,7.5,3.96,73.8
2014-09-20,#N/A,#N/A,#N/A,15.5,13.5,3.95,99.9
2014-09-21,#N/A,#N/A,#N/A,10.6,5.2,4.35,97.3
2014-09-22,#N/A,#N/A,#N/A,10.4,5.3,3.31,45.7
2014-09-23,#N/A,#N/A,#N/A,14.7,10.5,1.98,1.7
2014-09-24,#N/A,#N/A,#N/A,14.5,11.3,2.26,47.4
2014-09-25,#N/A,#N/A,#N/A,15.6,11.4,1.89,0.0
2014-09-26,#N/A,#N/A,#N/A,15.5,11.4,1.39,7.0
2014-09-27,#N/A,#N/A,#N/A,16.2,11.0,1.68,2.0
2014-09-28,#N/A,#N/A,#N/A,17.1,13.0,0.74,17.5
2014-09-29,#N/A,#N/A,#N/A,10.4,8.5,2.96,99.9
2014-09-30,#N/A,#N/A,#N/A,9.8,5.5,1.92,90.8
2014-10-01,#N/A,#N/A,#N/A,11.9,10.5,3.00,97.3
2014-10-02,#N/A,#N/A,#N/A,14.0,13.0,4.05,100.0
2014-10-03,#N/A,#N/A,#N/A,13.2,11.7,4.44,99.8
2014-10-04,#N/A,#N/A,#N/A,6.6,3.8,3.82,100.0
2014-10-05,#N/A,#N/A,#N/A,5.0,2.1,3.04,89.0
2014-10-06,#N/A,#N/A,#N/A,7.5,3.0,2.89,81.7
2014-10-07,#N/A,#N/A,#N/A,8.5,4.7,2.94,84.8
2014-10-08,#N/A,#N/A,#N/A,5.8,2.0,4.73,94.1
2014-10-09,#N/A,#N/A,#N/A,6.7,2.3,6.08,97.6
2014-10-10,#N/A,#N/A,#N/A,6.8,1.9,4.59,85.7
2014-10-11,#N/A,#N/A,#N/A,5.6,0.8,2.06,32.1
2014-10-12,#N/A,#N/A,#N/A,7.3,2.5,2.65,14.1
2014-10-13,#N/A,#N/A,#N/A,10.1,8.6,2.06,91.5
2014-10-14,#N/A,#N/A,#N/A,12.0,10.5,3.83,99.7
2014-10-15,#N/A,#N/A,#N/A,10.9,8.0,2.86,99.9
2014-10-16,#N/A,#N/A,#N/A,10.7,7.8,1.91,100.0
2014-10-17,#N/A,#N/A,#N/A,8.4,6.4,3.51,97.3
2014-10-18,#N/A,#N/A,#N/A,3.8,-2.2,4.28,45.5
2014-10-19,#N/A,#N/A,#N/A,3.8,0.4,2.27,83.7
2014-10-20,#N/A,#N/A,#N/A,8.1,5.8,2.59,100.0
2014-10-21,#N/A,#N/A,#N/A,5.1,-1.9,2.98,20.9
2014-10-22,#N/A,#N/A,#N/A,3.3,-2.1,1.04,0.0
2014-10-23,#N/A,#N/A,#N/A,4.6,1.4,1.85,25.5
2014-10-24,#N/A,#N/A,#N/A,8.5,6.4,2.16,100.0
2014-10-25,#N/A,#N/A,#N/A,10.8,4.7,7.43,57.9
2014-10-26,#N/A,#N/A,#N/A,6.2,0.9,5.11,82.1
2014-10-27,#N/A,#N/A,#N/A,4.3,2.7,3.57,75.1
2014-10-28,#N/A,#N/A,#N/A,8.5,6.6,4.16,99.8
2014-10-29,#N/A,#N/A,#N/A,4.8,1.3,4.95,96.7
2014-10-30,#N/A,#N/A,#N/A,4.1,1.8,1.49,99.7
2014-10-31,#N/A,#N/A,#N/A,-0.2,-6.1,5.44,80.8
2014-11-01,#N/A,#N/A,#N/A,-2.1,-7.7,1.81,0.0
2014-11-02,#N/A,#N/A,#N/A,2.6,-1.4,1.48,30.7
2014-11-03,#N/A,#N/A,#N/A,7.3,2.1,2.41,41.0
2014-11-04,#N/A,#N/A,#N/A,7.0,4.9,4.28,99.6
2014-11-05,#N/A,#N/A,#N/A,3.5,0.2,4.03,100.0
2014-11-06,#N/A,#N/A,#N/A,2.1,-2.3,3.16,95.4
2014-11-07,#N/A,#N/A,#N/A,-0.5,-6.0,2.53,70.3
2014-11-08,#N/A,#N/A,#N/A,0.6,-2.9,5.76,99.6
2014-11-09,#N/A,#N/A,#N/A,-0.7,-5.0,3.78,95.5
2014-11-10,#N/A,#N/A,#N/A,-2.2,-5.0,3.69,74.6
2014-11-11,#N/A,#N/A,#N/A,-2.3,-4.8,4.86,100.0
2014-11-12,#N/A,#N/A,#N/A,-4.2,-7.1,5.70,99.1
2014-11-13,#N/A,#N/A,#N/A,-3.3,-5.1,2.54,99.9
2014-11-14,#N/A,#N/A,#N/A,-3.4,-8.2,2.80,79.6
2014-11-15,#N/A,#N/A,#N/A,-5.6,-10.8,4.45,22.6
2014-11-16,#N/A,#N/A,#N/A,-4.8,-8.1,2.95,81.0
2014-11-17,#N/A,#N/A,#N/A,-5.3,-8.3,3.28,92.5
2014-11-18,#N/A,#N/A,#N/A,-7.2,-10.7,5.56,80.5
2014-11-19,#N/A,#N/A,#N/A,-9.3,-12.3,2.69,63.0
2014-11-20,#N/A,#N/A,#N/A,-6.6,-9.3,4.62,99.5
2014-11-21,#N/A,#N/A,#N/A,-7.2,-10.9,2.91,76.9
2014-11-22,#N/A,#N/A,#N/A,1.7,-1.1,4.16,100.0
2014-11-23,#N/A,#N/A,#N/A,3.7,3.0,2.89,100.0
2014-11-24,#N/A,#N/A,#N/A,3.8,2.9,3.39,100.0
2014-11-25,#N/A,#N/A,#N/A,-3.7,-6.6,3.61,97.9
2014-11-26,#N/A,#N/A,#N/A,-4.5,-7.1,1.75,95.2
2014-11-27,#N/A,#N/A,#N/A,-7.9,-11.5,4.03,81.7
2014-11-28,#N/A,#N/A,#N/A,-12.2,-14.7,1.66,74.4
2014-11-29,#N/A,#N/A,#N/A,-0.6,-2.7,4.21,97.5
2014-11-30,#N/A,#N/A,#N/A,-0.4,-3.7,4.89,100.0
2014-12-01,#N/A,#N/A,#N/A,-9.4,-13.4,6.13,86.1
2014-12-02,#N/A,#N/A,#N/A,-6.6,-10.2,3.27,96.0
2014-12-03,#N/A,#N/A,#N/A,-4.6,-7.8,6.31,99.8
2014-12-04,#N/A,#N/A,#N/A,-7.8,-11.0,2.25,85.7
2014-12-05,#N/A,#N/A,#N/A,-2.6,-6.1,1.76,91.5
2014-12-06,#N/A,#N/A,#N/A,-2.8,-7.9,3.38,28.1
2014-12-07,#N/A,#N/A,#N/A,-4.3,-8.1,3.16,76.2
2014-12-08,#N/A,#N/A,#N/A,0.1,-3.3,4.14,87.8
2014-12-09,#N/A,#N/A,#N/A,-3.0,-6.3,2.62,48.7
2014-12-10,#N/A,#N/A,#N/A,-9.5,-14.0,1.96,0.0
2014-12-11,#N/A,#N/A,#N/A,-2.3,-7.7,4.85,54.1
2014-12-12,#N/A,#N/A,#N/A,0.9,-0.3,3.64,100.0
2014-12-13,#N/A,#N/A,#N/A,0.6,-0.4,3.04,100.0
2014-12-14,#N/A,#N/A,#N/A,2.5,1.7,1.92,100.0
2014-12-15,#N/A,#N/A,#N/A,2.3,1.8,2.77,100.0
2014-12-16,#N/A,#N/A,#N/A,2.9,2.1,1.85,100.0
2014-12-17,#N/A,#N/A,#N/A,-4.4,-7.4,3.29,100.0
2014-12-18,#N/A,#N/A,#N/A,-8.2,-14.6,2.07,2.1
2014-12-19,#N/A,#N/A,#N/A,-9.1,-13.0,0.60,0.5
2014-12-20,#N/A,#N/A,#N/A,-7.5,-10.3,1.18,48.5
2014-12-21,#N/A,#N/A,#N/A,-2.2,-4.8,2.41,100.0
